"City1","lat","lon","City2","lat","lon","Distance"
"Espanyol","41.38256","2.177135","Mallorca","39.58111","2.709303","205.06"
"Espanyol","41.38256","2.177135","Leganés","40.328194","-3.76527","514.44"
"Espanyol","41.38256","2.177135","Almería","36.84142","-2.462814","644.15"
"Espanyol","41.38256","2.177135","Girona","41.979301","2.819944","85.19"
"Espanyol","41.38256","2.177135","Rayo Vallecano","40.38797","-3.66006","504.1"
"Espanyol","41.38256","2.177135","Sporting Gijón","43.545039","-5.662644","687.74"
"Espanyol","41.38256","2.177135","Ponferradina","42.545444","-6.593892","738.12"
"Espanyol","41.38256","2.177135","Las Palmas","28.12878","-15.435051","2174.18"
"Espanyol","41.38256","2.177135","CD Mirandés","42.685563","-2.947845","448.29"
"Espanyol","41.38256","2.177135","Fuenlabrada","40.282476","-3.792342","518.0"
"Espanyol","41.38256","2.177135","Málaga","36.721081","-4.421041","770.29"
"Espanyol","41.38256","2.177135","Oviedo","43.360632","-5.844897","695.98"
"Espanyol","41.38256","2.177135","Tenerife","28.459782","-16.253638","2203.15"
"Espanyol","41.38256","2.177135","Zaragoza","41.652134","-0.880943","257.01"
"Espanyol","41.38256","2.177135","Cartagena","37.99238","-1.130543","471.28"
"Espanyol","41.38256","2.177135","Alcorcón","40.346762","-3.828632","519.11"
"Espanyol","41.38256","2.177135","Lugo","43.010609","-7.556567","823.53"
"Espanyol","41.38256","2.177135","Sabadell","41.546421","2.108794","19.07"
"Espanyol","41.38256","2.177135","UD Logroñés","42.46612","-2.439668","401.36"
"Espanyol","41.38256","2.177135","Castellón","40.251857","-0.061505","226.79"
"Espanyol","41.38256","2.177135","Albacete","38.995105","-1.855961","433.78"
"Mallorca","39.58111","2.709303","Leganés","40.328194","-3.76527","559.31"
"Mallorca","39.58111","2.709303","Almería","36.84142","-2.462814","545.44"
"Mallorca","39.58111","2.709303","Girona","41.979301","2.819944","266.48"
"Mallorca","39.58111","2.709303","Rayo Vallecano","40.38797","-3.66006","551.23"
"Mallorca","39.58111","2.709303","Sporting Gijón","43.545039","-5.662644","824.91"
"Mallorca","39.58111","2.709303","Ponferradina","42.545444","-6.593892","847.84"
"Mallorca","39.58111","2.709303","Las Palmas","28.12878","-15.435051","2098.47"
"Mallorca","39.58111","2.709303","CD Mirandés","42.685563","-2.947845","586.72"
"Mallorca","39.58111","2.709303","Fuenlabrada","40.282476","-3.792342","561.05"
"Mallorca","39.58111","2.709303","Málaga","36.721081","-4.421041","700.69"
"Mallorca","39.58111","2.709303","Oviedo","43.360632","-5.844897","828.11"
"Mallorca","39.58111","2.709303","Tenerife","28.459782","-16.253638","2134.89"
"Mallorca","39.58111","2.709303","Zaragoza","41.652134","-0.880943","380.98"
"Mallorca","39.58111","2.709303","Cartagena","37.99238","-1.130543","377.33"
"Mallorca","39.58111","2.709303","Alcorcón","40.346762","-3.828632","564.89"
"Mallorca","39.58111","2.709303","Lugo","43.010609","-7.556567","939.58"
"Mallorca","39.58111","2.709303","Sabadell","41.546421","2.108794","224.08"
"Mallorca","39.58111","2.709303","UD Logroñés","42.46612","-2.439668","538.52"
"Mallorca","39.58111","2.709303","Castellón","40.251857","-0.061505","248.32"
"Mallorca","39.58111","2.709303","Albacete","38.995105","-1.855961","399.15"
"Leganés","40.328194","-3.76527","Almería","36.84142","-2.462814","403.34"
"Leganés","40.328194","-3.76527","Girona","41.979301","2.819944","582.19"
"Leganés","40.328194","-3.76527","Rayo Vallecano","40.38797","-3.66006","11.13"
"Leganés","40.328194","-3.76527","Sporting Gijón","43.545039","-5.662644","390.39"
"Leganés","40.328194","-3.76527","Ponferradina","42.545444","-6.593892","341.32"
"Leganés","40.328194","-3.76527","Las Palmas","28.12878","-15.435051","1725.01"
"Leganés","40.328194","-3.76527","CD Mirandés","42.685563","-2.947845","270.56"
"Leganés","40.328194","-3.76527","Fuenlabrada","40.282476","-3.792342","5.57"
"Leganés","40.328194","-3.76527","Málaga","36.721081","-4.421041","404.47"
"Leganés","40.328194","-3.76527","Oviedo","43.360632","-5.844897","378.48"
"Leganés","40.328194","-3.76527","Tenerife","28.459782","-16.253638","1743.3"
"Leganés","40.328194","-3.76527","Zaragoza","41.652134","-0.880943","283.75"
"Leganés","40.328194","-3.76527","Cartagena","37.99238","-1.130543","345.08"
"Leganés","40.328194","-3.76527","Alcorcón","40.346762","-3.828632","5.77"
"Leganés","40.328194","-3.76527","Lugo","43.010609","-7.556567","434.02"
"Leganés","40.328194","-3.76527","Sabadell","41.546421","2.108794","512.73"
"Leganés","40.328194","-3.76527","UD Logroñés","42.46612","-2.439668","262.04"
"Leganés","40.328194","-3.76527","Castellón","40.251857","-0.061505","315.03"
"Leganés","40.328194","-3.76527","Albacete","38.995105","-1.855961","220.79"
"Almería","36.84142","-2.462814","Girona","41.979301","2.819944","729.32"
"Almería","36.84142","-2.462814","Rayo Vallecano","40.38797","-3.66006","407.26"
"Almería","36.84142","-2.462814","Sporting Gijón","43.545039","-5.662644","792.49"
"Almería","36.84142","-2.462814","Ponferradina","42.545444","-6.593892","725.47"
"Almería","36.84142","-2.462814","Las Palmas","28.12878","-15.435051","1553.06"
"Almería","36.84142","-2.462814","CD Mirandés","42.685563","-2.947845","650.2"
"Almería","36.84142","-2.462814","Fuenlabrada","40.282476","-3.792342","399.16"
"Almería","36.84142","-2.462814","Málaga","36.721081","-4.421041","175.31"
"Almería","36.84142","-2.462814","Oviedo","43.360632","-5.844897","779.02"
"Almería","36.84142","-2.462814","Tenerife","28.459782","-16.253638","1590.29"
"Almería","36.84142","-2.462814","Zaragoza","41.652134","-0.880943","551.24"
"Almería","36.84142","-2.462814","Cartagena","37.99238","-1.130543","173.85"
"Almería","36.84142","-2.462814","Alcorcón","40.346762","-3.828632","406.89"
"Almería","36.84142","-2.462814","Lugo","43.010609","-7.556567","811.29"
"Almería","36.84142","-2.462814","Sabadell","41.546421","2.108794","654.62"
"Almería","36.84142","-2.462814","UD Logroñés","42.46612","-2.439668","624.5"
"Almería","36.84142","-2.462814","Castellón","40.251857","-0.061505","432.56"
"Almería","36.84142","-2.462814","Albacete","38.995105","-1.855961","244.93"
"Girona","41.979301","2.819944","Rayo Vallecano","40.38797","-3.66006","571.51"
"Girona","41.979301","2.819944","Sporting Gijón","43.545039","-5.662644","715.44"
"Girona","41.979301","2.819944","Ponferradina","42.545444","-6.593892","778.87"
"Girona","41.979301","2.819944","Las Palmas","28.12878","-15.435051","2256.83"
"Girona","41.979301","2.819944","CD Mirandés","42.685563","-2.947845","481.7"
"Girona","41.979301","2.819944","Fuenlabrada","40.282476","-3.792342","586.14"
"Girona","41.979301","2.819944","Málaga","36.721081","-4.421041","854.01"
"Girona","41.979301","2.819944","Oviedo","43.360632","-5.844897","726.33"
"Girona","41.979301","2.819944","Tenerife","28.459782","-16.253638","2284.94"
"Girona","41.979301","2.819944","Zaragoza","41.652134","-0.880943","309.62"
"Girona","41.979301","2.819944","Cartagena","37.99238","-1.130543","556.47"
"Girona","41.979301","2.819944","Alcorcón","40.346762","-3.828632","586.53"
"Girona","41.979301","2.819944","Lugo","43.010609","-7.556567","860.1"
"Girona","41.979301","2.819944","Sabadell","41.546421","2.108794","76.22"
"Girona","41.979301","2.819944","UD Logroñés","42.46612","-2.439668","437.52"
"Girona","41.979301","2.819944","Castellón","40.251857","-0.061505","308.79"
"Girona","41.979301","2.819944","Albacete","38.995105","-1.855961","516.55"
"Rayo Vallecano","40.38797","-3.66006","Sporting Gijón","43.545039","-5.662644","387.94"
"Rayo Vallecano","40.38797","-3.66006","Ponferradina","42.545444","-6.593892","342.72"
"Rayo Vallecano","40.38797","-3.66006","Las Palmas","28.12878","-15.435051","1735.92"
"Rayo Vallecano","40.38797","-3.66006","CD Mirandés","42.685563","-2.947845","262.01"
"Rayo Vallecano","40.38797","-3.66006","Fuenlabrada","40.282476","-3.792342","16.23"
"Rayo Vallecano","40.38797","-3.66006","Málaga","36.721081","-4.421041","412.41"
"Rayo Vallecano","40.38797","-3.66006","Oviedo","43.360632","-5.844897","376.68"
"Rayo Vallecano","40.38797","-3.66006","Tenerife","28.459782","-16.253638","1754.31"
"Rayo Vallecano","40.38797","-3.66006","Zaragoza","41.652134","-0.880943","272.65"
"Rayo Vallecano","40.38797","-3.66006","Cartagena","37.99238","-1.130543","344.19"
"Rayo Vallecano","40.38797","-3.66006","Alcorcón","40.346762","-3.828632","15.03"
"Rayo Vallecano","40.38797","-3.66006","Lugo","43.010609","-7.556567","435.85"
"Rayo Vallecano","40.38797","-3.66006","Sabadell","41.546421","2.108794","502.25"
"Rayo Vallecano","40.38797","-3.66006","UD Logroñés","42.46612","-2.439668","252.34"
"Rayo Vallecano","40.38797","-3.66006","Castellón","40.251857","-0.061505","306.21"
"Rayo Vallecano","40.38797","-3.66006","Albacete","38.995105","-1.855961","218.77"
"Sporting Gijón","43.545039","-5.662644","Ponferradina","42.545444","-6.593892","134.49"
"Sporting Gijón","43.545039","-5.662644","Las Palmas","28.12878","-15.435051","1921.67"
"Sporting Gijón","43.545039","-5.662644","CD Mirandés","42.685563","-2.947845","240.69"
"Sporting Gijón","43.545039","-5.662644","Fuenlabrada","40.282476","-3.792342","394.17"
"Sporting Gijón","43.545039","-5.662644","Málaga","36.721081","-4.421041","765.04"
"Sporting Gijón","43.545039","-5.662644","Oviedo","43.360632","-5.844897","25.25"
"Sporting Gijón","43.545039","-5.662644","Tenerife","28.459782","-16.253638","1923.31"
"Sporting Gijón","43.545039","-5.662644","Zaragoza","41.652134","-0.880943","445.12"
"Sporting Gijón","43.545039","-5.662644","Cartagena","37.99238","-1.130543","725.42"
"Sporting Gijón","43.545039","-5.662644","Alcorcón","40.346762","-3.828632","386.4"
"Sporting Gijón","43.545039","-5.662644","Lugo","43.010609","-7.556567","164.8"
"Sporting Gijón","43.545039","-5.662644","Sabadell","41.546421","2.108794","675.53"
"Sporting Gijón","43.545039","-5.662644","UD Logroñés","42.46612","-2.439668","288.8"
"Sporting Gijón","43.545039","-5.662644","Castellón","40.251857","-0.061505","591.23"
"Sporting Gijón","43.545039","-5.662644","Albacete","38.995105","-1.855961","597.4"
"Ponferradina","42.545444","-6.593892","Las Palmas","28.12878","-15.435051","1787.59"
"Ponferradina","42.545444","-6.593892","CD Mirandés","42.685563","-2.947845","299.53"
"Ponferradina","42.545444","-6.593892","Fuenlabrada","40.282476","-3.792342","343.51"
"Ponferradina","42.545444","-6.593892","Málaga","36.721081","-4.421041","672.96"
"Ponferradina","42.545444","-6.593892","Oviedo","43.360632","-5.844897","109.26"
"Ponferradina","42.545444","-6.593892","Tenerife","28.459782","-16.253638","1788.87"
"Ponferradina","42.545444","-6.593892","Zaragoza","41.652134","-0.880943","482.79"
"Ponferradina","42.545444","-6.593892","Cartagena","37.99238","-1.130543","686.38"
"Ponferradina","42.545444","-6.593892","Alcorcón","40.346762","-3.828632","336.16"
"Ponferradina","42.545444","-6.593892","Lugo","43.010609","-7.556567","94.21"
"Ponferradina","42.545444","-6.593892","Sabadell","41.546421","2.108794","728.66"
"Ponferradina","42.545444","-6.593892","UD Logroñés","42.46612","-2.439668","341.52"
"Ponferradina","42.545444","-6.593892","Castellón","40.251857","-0.061505","602.52"
"Ponferradina","42.545444","-6.593892","Albacete","38.995105","-1.855961","561.47"
"Las Palmas","28.12878","-15.435051","CD Mirandés","42.685563","-2.947845","1968.71"
"Las Palmas","28.12878","-15.435051","Fuenlabrada","40.282476","-3.792342","1719.69"
"Las Palmas","28.12878","-15.435051","Málaga","36.721081","-4.421041","1405.57"
"Las Palmas","28.12878","-15.435051","Oviedo","43.360632","-5.844897","1896.54"
"Las Palmas","28.12878","-15.435051","Tenerife","28.459782","-16.253638","88.28"
"Las Palmas","28.12878","-15.435051","Zaragoza","41.652134","-0.880943","1999.34"
"Las Palmas","28.12878","-15.435051","Cartagena","37.99238","-1.130543","1722.93"
"Las Palmas","28.12878","-15.435051","Alcorcón","40.346762","-3.828632","1722.96"
"Las Palmas","28.12878","-15.435051","Lugo","43.010609","-7.556567","1796.92"
"Las Palmas","28.12878","-15.435051","Sabadell","41.546421","2.108794","2180.65"
"Las Palmas","28.12878","-15.435051","UD Logroñés","42.46612","-2.439668","1976.65"
"Las Palmas","28.12878","-15.435051","Castellón","40.251857","-0.061505","1948.04"
"Las Palmas","28.12878","-15.435051","Albacete","38.995105","-1.855961","1740.44"
"CD Mirandés","42.685563","-2.947845","Fuenlabrada","40.282476","-3.792342","276.05"
"CD Mirandés","42.685563","-2.947845","Málaga","36.721081","-4.421041","674.14"
"CD Mirandés","42.685563","-2.947845","Oviedo","43.360632","-5.844897","247.75"
"CD Mirandés","42.685563","-2.947845","Tenerife","28.459782","-16.253638","1981.12"
"CD Mirandés","42.685563","-2.947845","Zaragoza","41.652134","-0.880943","205.77"
"CD Mirandés","42.685563","-2.947845","Cartagena","37.99238","-1.130543","543.49"
"CD Mirandés","42.685563","-2.947845","Alcorcón","40.346762","-3.828632","269.96"
"CD Mirandés","42.685563","-2.947845","Lugo","43.010609","-7.556567","378.4"
"CD Mirandés","42.685563","-2.947845","Sabadell","41.546421","2.108794","436.83"
"CD Mirandés","42.685563","-2.947845","UD Logroñés","42.46612","-2.439668","48.32"
"CD Mirandés","42.685563","-2.947845","Castellón","40.251857","-0.061505","362.16"
"CD Mirandés","42.685563","-2.947845","Albacete","38.995105","-1.855961","420.04"
"Fuenlabrada","40.282476","-3.792342","Málaga","36.721081","-4.421041","399.12"
"Fuenlabrada","40.282476","-3.792342","Oviedo","43.360632","-5.844897","382.03"
"Fuenlabrada","40.282476","-3.792342","Tenerife","28.459782","-16.253638","1738.08"
"Fuenlabrada","40.282476","-3.792342","Zaragoza","41.652134","-0.880943","288.41"
"Fuenlabrada","40.282476","-3.792342","Cartagena","37.99238","-1.130543","342.89"
"Fuenlabrada","40.282476","-3.792342","Alcorcón","40.346762","-3.828632","7.78"
"Fuenlabrada","40.282476","-3.792342","Lugo","43.010609","-7.556567","435.97"
"Fuenlabrada","40.282476","-3.792342","Sabadell","41.546421","2.108794","516.45"
"Fuenlabrada","40.282476","-3.792342","UD Logroñés","42.46612","-2.439668","267.61"
"Fuenlabrada","40.282476","-3.792342","Castellón","40.251857","-0.061505","317.34"
"Fuenlabrada","40.282476","-3.792342","Albacete","38.995105","-1.855961","219.22"
"Málaga","36.721081","-4.421041","Oviedo","43.360632","-5.844897","747.14"
"Málaga","36.721081","-4.421041","Tenerife","28.459782","-16.253638","1437.83"
"Málaga","36.721081","-4.421041","Zaragoza","41.652134","-0.880943","626.94"
"Málaga","36.721081","-4.421041","Cartagena","37.99238","-1.130543","323.84"
"Málaga","36.721081","-4.421041","Alcorcón","40.346762","-3.828632","405.77"
"Málaga","36.721081","-4.421041","Lugo","43.010609","-7.556567","747.94"
"Málaga","36.721081","-4.421041","Sabadell","41.546421","2.108794","777.84"
"Málaga","36.721081","-4.421041","UD Logroñés","42.46612","-2.439668","660.11"
"Málaga","36.721081","-4.421041","Castellón","40.251857","-0.061505","546.01"
"Málaga","36.721081","-4.421041","Albacete","38.995105","-1.855961","338.58"
"Oviedo","43.360632","-5.844897","Tenerife","28.459782","-16.253638","1898.09"
"Oviedo","43.360632","-5.844897","Zaragoza","41.652134","-0.880943","449.87"
"Oviedo","43.360632","-5.844897","Cartagena","37.99238","-1.130543","716.82"
"Oviedo","43.360632","-5.844897","Alcorcón","40.346762","-3.828632","374.26"
"Oviedo","43.360632","-5.844897","Lugo","43.010609","-7.556567","144.48"
"Oviedo","43.360632","-5.844897","Sabadell","41.546421","2.108794","684.28"
"Oviedo","43.360632","-5.844897","UD Logroñés","42.46612","-2.439668","295.25"
"Oviedo","43.360632","-5.844897","Castellón","40.251857","-0.061505","591.55"
"Oviedo","43.360632","-5.844897","Albacete","38.995105","-1.855961","588.97"
"Tenerife","28.459782","-16.253638","Zaragoza","41.652134","-0.880943","2020.72"
"Tenerife","28.459782","-16.253638","Cartagena","37.99238","-1.130543","1758.13"
"Tenerife","28.459782","-16.253638","Alcorcón","40.346762","-3.828632","1740.98"
"Tenerife","28.459782","-16.253638","Lugo","43.010609","-7.556567","1793.51"
"Tenerife","28.459782","-16.253638","Sabadell","41.546421","2.108794","2208.91"
"Tenerife","28.459782","-16.253638","UD Logroñés","42.46612","-2.439668","1991.19"
"Tenerife","28.459782","-16.253638","Castellón","40.251857","-0.061505","1976.5"
"Tenerife","28.459782","-16.253638","Albacete","38.995105","-1.855961","1769.57"
"Zaragoza","41.652134","-0.880943","Cartagena","37.99238","-1.130543","406.91"
"Zaragoza","41.652134","-0.880943","Alcorcón","40.346762","-3.828632","287.24"
"Zaragoza","41.652134","-0.880943","Lugo","43.010609","-7.556567","570.34"
"Zaragoza","41.652134","-0.880943","Sabadell","41.546421","2.108794","249.51"
"Zaragoza","41.652134","-0.880943","UD Logroñés","42.46612","-2.439668","157.54"
"Zaragoza","41.652134","-0.880943","Castellón","40.251857","-0.061505","170.12"
"Zaragoza","41.652134","-0.880943","Albacete","38.995105","-1.855961","306.45"
"Cartagena","37.99238","-1.130543","Alcorcón","40.346762","-3.828632","350.23"
"Cartagena","37.99238","-1.130543","Lugo","43.010609","-7.556567","778.78"
"Cartagena","37.99238","-1.130543","Sabadell","41.546421","2.108794","482.35"
"Cartagena","37.99238","-1.130543","UD Logroñés","42.46612","-2.439668","509.08"
"Cartagena","37.99238","-1.130543","Castellón","40.251857","-0.061505","267.33"
"Cartagena","37.99238","-1.130543","Albacete","38.995105","-1.855961","128.04"
"Alcorcón","40.346762","-3.828632","Lugo","43.010609","-7.556567","428.74"
"Alcorcón","40.346762","-3.828632","Sabadell","41.546421","2.108794","517.27"
"Alcorcón","40.346762","-3.828632","UD Logroñés","42.46612","-2.439668","262.46"
"Alcorcón","40.346762","-3.828632","Castellón","40.251857","-0.061505","320.43"
"Alcorcón","40.346762","-3.828632","Albacete","38.995105","-1.855961","226.2"
"Lugo","43.010609","-7.556567","Sabadell","41.546421","2.108794","813.21"
"Lugo","43.010609","-7.556567","UD Logroñés","42.46612","-2.439668","423.28"
"Lugo","43.010609","-7.556567","Castellón","40.251857","-0.061505","695.3"
"Lugo","43.010609","-7.556567","Albacete","38.995105","-1.855961","654.59"
"Sabadell","41.546421","2.108794","UD Logroñés","42.46612","-2.439668","390.35"
"Sabadell","41.546421","2.108794","Castellón","40.251857","-0.061505","232.61"
"Sabadell","41.546421","2.108794","Albacete","38.995105","-1.855961","440.34"
"UD Logroñés","42.46612","-2.439668","Castellón","40.251857","-0.061505","316.32"
"UD Logroñés","42.46612","-2.439668","Albacete","38.995105","-1.855961","388.59"
"Castellón","40.251857","-0.061505","Albacete","38.995105","-1.855961","207.86"
